"IID","Pop","Color","Predicted_Ancestry","PC1","PC2","PC3","PC4"
"NA06984","CEU","gray","CEU",0.0140232,-0.0103246,0.00103182,-0.00910155
"NA06985","CEU","gray","CEU",0.013192,-0.0104102,0.000165495,-0.00876486
"NA06986","CEU","gray","CEU",0.0133069,-0.0106655,0.00283887,-0.0109261
"NA06989","CEU","gray","CEU",0.013591,-0.0101563,0.000721748,-0.00922172
"NA06991","CEU","gray","CEU",0.0131748,-0.0105296,0.000906209,-0.00815557
"NA06993","CEU","gray","CEU",0.0134272,-0.0106605,0.00139951,-0.00827709
"NA06994","CEU","gray","CEU",0.0134691,-0.0098508,-0.00146554,-0.0111891
"NA06995","CEU","gray","CEU",0.0135165,-0.0105046,0.00011942,-0.0113881
"NA06997","CEU","gray","CEU",0.0133201,-0.0105601,0.000609037,-0.0150916
"NA07000","CEU","gray","CEU",0.0133596,-0.00955533,0.00136545,-0.00979374
"NA07014","CEU","gray","CEU",0.0137181,-0.0104777,0.00260173,-0.0127496
"NA07022","CEU","gray","CEU",0.0131014,-0.0104535,0.000663094,-0.00953714
"NA07029","CEU","gray","CEU",0.0135848,-0.0100681,0.000853088,-0.0103707
"NA07031","CEU","gray","CEU",0.0136496,-0.0103687,0.00212318,-0.0112308
"NA07037","CEU","gray","CEU",0.0136131,-0.0103327,0.000889704,-0.009109
"NA07045","CEU","gray","CEU",0.01412,-0.0104099,0.00111865,-0.0127539
"NA07051","CEU","gray","CEU",0.0135806,-0.0106929,0.00329183,-0.0112759
"NA07055","CEU","gray","CEU",0.0138878,-0.0101653,0.000920622,-0.0081435
"NA07056","CEU","gray","CEU",0.0138848,-0.00990174,0.00113782,-0.0101228
"NA07345","CEU","gray","CEU",0.0137784,-0.0102952,0.00028363,-0.01203
"NA07346","CEU","gray","CEU",0.0143758,-0.00963413,0.00123909,-0.0120632
"NA07347","CEU","gray","CEU",0.0134103,-0.0110542,0.00119071,-0.00836601
"NA07348","CEU","gray","CEU",0.0135344,-0.00965905,0.00223018,-0.0128335
"NA07349","CEU","gray","CEU",0.0139964,-0.00974311,-0.000189588,-0.0122635
"NA07357","CEU","gray","CEU",0.013921,-0.0102474,0.000615841,-0.0102151
"NA07435","CEU","gray","CEU",0.0139029,-0.0112449,-0.00010982,-0.00898472
"NA10830","CEU","gray","CEU",0.0141867,-0.0101592,0.00127453,-0.0090534
"NA10831","CEU","gray","CEU",0.0143065,-0.0105944,-0.000342935,-0.015845
"NA10835","CEU","gray","CEU",0.0136197,-0.010094,0.00155133,-0.015126
"NA10836","CEU","gray","CEU",0.0138271,-0.0107348,0.00256883,-0.00954013
"NA10837","CEU","gray","CEU",0.0135922,-0.0108532,0.00198164,-0.00716886
"NA10838","CEU","gray","CEU",0.0135508,-0.00982496,0.00314452,-0.010899
"NA10839","CEU","gray","CEU",0.0144177,-0.0106644,0.000716771,-0.0162931
"NA10840","CEU","gray","CEU",0.0137308,-0.0097696,0.00160491,-0.00528982
"NA10843","CEU","gray","CEU",0.0139572,-0.0111073,0.0008517,-0.0123219
"NA10845","CEU","gray","CEU",0.0124499,-0.0104696,0.00234358,-0.0105295
"NA10846","CEU","gray","CEU",0.0135658,-0.0100654,0.000373585,-0.00444249
"NA10847","CEU","gray","CEU",0.0136981,-0.0111164,0.000486026,-0.0109988
"NA10850","CEU","gray","CEU",0.013459,-0.011207,0.00165953,-0.00547473
"NA10852","CEU","gray","CEU",0.0141462,-0.0105963,-0.000619497,-0.0108169
"NA10853","CEU","gray","CEU",0.0135376,-0.0102705,0.00136778,-0.00793375
"NA10854","CEU","gray","CEU",0.0133265,-0.00965858,-0.000875522,-0.00983104
"NA10855","CEU","gray","CEU",0.0137835,-0.0108181,0.000724379,-0.00825839
"NA10856","CEU","gray","CEU",0.0137578,-0.010409,0.00263149,-0.00801497
"NA10859","CEU","gray","CEU",0.0135669,-0.0104218,0.00125371,-0.00833211
"NA10861","CEU","gray","CEU",0.0137058,-0.010193,-1.0397e-05,-0.0104765
"NA10863","CEU","gray","CEU",0.0139209,-0.0105002,0.000279321,-0.00740205
"NA10864","CEU","gray","CEU",0.0134963,-0.0108448,0.0015293,-0.0123216
"NA10865","CEU","gray","CEU",0.0138266,-0.00995346,0.00120402,-0.0111882
"NA11829","CEU","gray","CEU",0.0143292,-0.00919799,0.00230282,-0.00835169
"NA11830","CEU","gray","CEU",0.0137196,-0.0105037,0.00254644,-0.00871869
"NA11831","CEU","gray","CEU",0.0132687,-0.0110655,0.00132419,-0.00863429
"NA11832","CEU","gray","CEU",0.0133361,-0.0101342,-0.000584873,-0.00607486
"NA11839","CEU","gray","CEU",0.0134207,-0.00977146,0.000131538,-0.00688885
"NA11840","CEU","gray","CEU",0.0131371,-0.00895059,-0.00488414,-0.0123211
"NA11843","CEU","gray","CEU",0.014013,-0.0103401,0.00106436,-0.0103324
"NA11881","CEU","gray","CEU",0.0139124,-0.0102218,0.000926402,-0.00616286
"NA11882","CEU","gray","CEU",0.0131623,-0.0112135,0.00172738,-0.0105427
"NA11891","CEU","gray","CEU",0.0139552,-0.0102719,0.00305313,-0.00975949
"NA11892","CEU","gray","CEU",0.0136084,-0.0101015,6.06398e-05,-0.0109517
"NA11893","CEU","gray","CEU",0.0137632,-0.0101557,0.0017103,-0.00806236
"NA11894","CEU","gray","CEU",0.0133947,-0.0116628,0.00152787,-0.0115905
"NA11917","CEU","gray","CEU",0.0138041,-0.00985352,0.000960786,-0.00804931
"NA11918","CEU","gray","CEU",0.0138718,-0.00992251,0.00092083,-0.0066551
"NA11919","CEU","gray","CEU",0.0140551,-0.010463,0.00215988,-0.00836335
"NA11920","CEU","gray","CEU",0.014424,-0.0111111,0.000248723,-0.0120261
"NA11930","CEU","gray","CEU",0.0131396,-0.0101379,0.00352833,-0.00653217
"NA11931","CEU","gray","CEU",0.0133959,-0.0106908,0.00168214,-0.00864428
"NA11992","CEU","gray","CEU",0.0135876,-0.0108154,0.000963071,-0.00756614
"NA11993","CEU","gray","CEU",0.0136092,-0.0109792,0.000847072,-0.00865869
"NA11994","CEU","gray","CEU",0.0136432,-0.0091624,0.00166432,-0.0115675
"NA11995","CEU","gray","CEU",0.0143539,-0.011548,0.00184454,-0.0078011
"NA12003","CEU","gray","CEU",0.0136632,-0.00972422,0.000738394,-0.013559
"NA12005","CEU","gray","CEU",0.014146,-0.00995531,2.57727e-05,-0.0131587
"NA12006","CEU","gray","CEU",0.0143104,-0.0106147,0.00132776,-0.0127834
"NA12043","CEU","gray","CEU",0.0139769,-0.0107534,0.000769141,-0.00687562
"NA12044","CEU","gray","CEU",0.0135758,-0.0105065,0.000100739,-0.00754496
"NA12045","CEU","gray","CEU",0.0136997,-0.0104589,0.000614802,-0.0123544
"NA12056","CEU","gray","CEU",0.014021,-0.0109489,0.000914549,-0.0106419
"NA12057","CEU","gray","CEU",0.013113,-0.0103943,0.00102946,-0.0115144
"NA12144","CEU","gray","CEU",0.0139601,-0.00958399,-0.000140149,-0.0025543
"NA12145","CEU","gray","CEU",0.0137286,-0.0107102,0.000913026,-0.0089854
"NA12146","CEU","gray","CEU",0.0134241,-0.011938,0.00059271,-0.0120098
"NA12154","CEU","gray","CEU",0.0140792,-0.0100415,0.000563204,-0.00947997
"NA12155","CEU","gray","CEU",0.014268,-0.010656,0.000675675,-0.0112296
"NA12156","CEU","gray","CEU",0.0138124,-0.0104546,-0.00190027,-0.0160887
"NA12234","CEU","gray","CEU",0.0142343,-0.0103929,0.00086245,-0.00748953
"NA12239","CEU","gray","CEU",0.0135815,-0.00976097,-4.43919e-05,-0.00884468
"NA12248","CEU","gray","CEU",0.0130703,-0.00913794,0.00214154,-0.0133258
"NA12249","CEU","gray","CEU",0.0141222,-0.0103127,4.50144e-05,-0.0127989
"NA12264","CEU","gray","CEU",0.0136686,-0.0106624,0.00113327,-0.00898018
"NA12272","CEU","gray","CEU",0.0139527,-0.0109686,0.00138749,-0.00632803
"NA12273","CEU","gray","CEU",0.0135157,-0.0103762,0.00111747,-0.00589028
"NA12275","CEU","gray","CEU",0.0134571,-0.0108969,0.00139587,-0.0109372
"NA12282","CEU","gray","CEU",0.0136587,-0.0103195,-0.000672382,-0.00788971
"NA12283","CEU","gray","CEU",0.0133291,-0.0101574,0.000576325,-0.00698664
