"IID","Pop","Color","Predicted_Ancestry","PC1","PC2","PC3","PC4"
"01-001-04","CEU","gray","CEU",0.0114736,-0.00795284,0.000651527,-0.00601856
"01-002-01","MXL","chocolate2","MXL",-0.0061,-0.00886122,-0.0451441,0.028517
"01-002-03","MXL","chocolate2","MXL",-0.00324039,-0.00916605,-0.0411249,0.0314417
"01-003-01","CEU","gray","CEU",0.0116952,-0.00764819,0.00108766,-0.00675837
"01-004-01","CEU","gray","CEU",0.0119635,-0.00681246,-0.000225948,-0.00606061
"01-005-01","TSI","gray","TSI",0.0103029,-0.00794595,-0.0117344,0.0104472
"01-007-01","CEU","gray","CEU",0.0113632,-0.0070518,0.000273077,-0.00662588
"01-008-01","LWK","orchid3","LWK",-0.0401792,-0.0113945,-0.0936061,-0.0092115
"01-009-01","TSI","gray","TSI",0.0104431,-0.00772058,-0.00409659,0.00207867
"01-010-01","JPT","goldenrod1","JPT",-0.00300303,0.0549661,-0.0520126,0.00619625
"01-011-01","CEU","gray","CEU",0.0116677,-0.00763935,-0.00146727,-0.00803276
"01-012-01","CEU","gray","CEU",0.0114195,-0.00730611,0.000516206,-0.00551078
"01-013-01","TSI","gray","TSI",0.0102348,-0.00762331,-0.00869257,0.00584222
"01-014-01","MXL","chocolate2","MXL",-0.00221164,-0.00227803,-0.0286795,-0.00354465
"01-015-01","MXL","chocolate2","MXL",0.00624806,-0.00321888,-0.0218063,0.0293709
"01-016-01","TSI","gray","TSI",0.0109788,-0.00764044,-0.0068272,0.00519311
"01-017-01","MXL","chocolate2","MXL",0.0114619,-0.00567564,-0.00219659,-0.00815444
"01-018-01","CEU","gray","CEU",0.0118812,-0.00791641,0.000345902,-0.00163633
"01-020-01","MXL","chocolate2","MXL",0.0101984,-0.00589513,-0.00601681,0.00393732
"01-021-01","CEU","gray","CEU",0.0118758,-0.00785209,-0.000470685,-0.00305734
"01-021-02","TSI","gray","TSI",0.0114214,-0.00869144,-0.000716338,-0.00238849
"01-022-01","TSI","gray","TSI",0.0112645,-0.00818511,-0.000295235,-0.00573244
